factor,spearman_ic_mean,spearman_ic_std,sample_bars
L1_momo,-0.10309824067601625,0.09825505096205056,6
L2_flow,-0.03594680304624165,0.07024291734635207,6
L3_confirm,-0.026318066530866574,0.05085375267279842,6
L4_oi,0.006031333589753755,0.03491935375703926,6
L5_cost,-0.06324032810516826,0.14214285032977975,6
L6_rebound,-0.06717484129713368,0.08381452110985108,6
L7_candle,0.033507618673431445,0.07217303365753114,6
S1_crowd,0.06324032810516826,0.14214285032977975,6
S2_whale_exit,,,0
S3_price_oi_div,-0.020958042131740007,0.0645102687313708,6
S4_activity_oi_div,-0.0021532920467643725,0.03960935389978479,6
S5_upper_wick,0.04969247094388749,0.030850045746838438,6
