ts,regime,side,factor,weight
2026-03-06 00:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 00:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 00:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 00:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 00:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 00:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 00:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 00:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 00:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 00:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 00:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 00:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
2026-03-06 04:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 04:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 04:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 04:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 04:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 04:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 04:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 04:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 04:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 04:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 04:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 04:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
2026-03-06 08:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 08:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 08:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 08:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 08:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 08:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 08:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 08:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 08:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 08:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 08:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 08:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
2026-03-06 12:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 12:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 12:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 12:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 12:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 12:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 12:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 12:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 12:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 12:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 12:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 12:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
2026-03-06 16:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 16:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 16:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 16:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 16:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 16:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 16:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 16:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 16:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 16:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 16:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 16:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
2026-03-06 20:00:00+00:00,weak,long,L1_momo,0.12226573304526106
2026-03-06 20:00:00+00:00,weak,long,L2_flow,0.1815400672726696
2026-03-06 20:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-06 20:00:00+00:00,weak,long,L4_oi,0.31663979005438475
2026-03-06 20:00:00+00:00,weak,long,L5_cost,0.2154216281595847
2026-03-06 20:00:00+00:00,weak,long,L6_rebound,0.16413278146809993
2026-03-06 20:00:00+00:00,weak,long,L7_candle,0.0
2026-03-06 20:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-06 20:00:00+00:00,weak,short,S2_whale_exit,0.1491293258320717
2026-03-06 20:00:00+00:00,weak,short,S3_price_oi_div,0.27645068677740336
2026-03-06 20:00:00+00:00,weak,short,S4_activity_oi_div,0.5331209456184461
2026-03-06 20:00:00+00:00,weak,short,S5_upper_wick,0.04129904177207894
