ts,regime,side,factor,weight
2026-03-03 00:00:00+00:00,weak,long,L1_momo,0.09749972138123164
2026-03-03 00:00:00+00:00,weak,long,L2_flow,0.17989228140507316
2026-03-03 00:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 00:00:00+00:00,weak,long,L4_oi,0.323947775196231
2026-03-03 00:00:00+00:00,weak,long,L5_cost,0.22344395900718317
2026-03-03 00:00:00+00:00,weak,long,L6_rebound,0.175216263010281
2026-03-03 00:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 00:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 00:00:00+00:00,weak,short,S2_whale_exit,0.15232282781604542
2026-03-03 00:00:00+00:00,weak,short,S3_price_oi_div,0.3129626749386609
2026-03-03 00:00:00+00:00,weak,short,S4_activity_oi_div,0.4719738812992175
2026-03-03 00:00:00+00:00,weak,short,S5_upper_wick,0.06274061594607623
2026-03-03 04:00:00+00:00,weak,long,L1_momo,0.09793611662193749
2026-03-03 04:00:00+00:00,weak,long,L2_flow,0.17975044936265416
2026-03-03 04:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 04:00:00+00:00,weak,long,L4_oi,0.328882987051751
2026-03-03 04:00:00+00:00,weak,long,L5_cost,0.21933098369709467
2026-03-03 04:00:00+00:00,weak,long,L6_rebound,0.17409946326656262
2026-03-03 04:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 04:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 04:00:00+00:00,weak,short,S2_whale_exit,0.15532853478893915
2026-03-03 04:00:00+00:00,weak,short,S3_price_oi_div,0.32359697457685094
2026-03-03 04:00:00+00:00,weak,short,S4_activity_oi_div,0.45833672621164345
2026-03-03 04:00:00+00:00,weak,short,S5_upper_wick,0.06273776442256648
2026-03-03 08:00:00+00:00,weak,long,L1_momo,0.08611513146812301
2026-03-03 08:00:00+00:00,weak,long,L2_flow,0.16551333111735755
2026-03-03 08:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 08:00:00+00:00,weak,long,L4_oi,0.339731032268198
2026-03-03 08:00:00+00:00,weak,long,L5_cost,0.22793962677005097
2026-03-03 08:00:00+00:00,weak,long,L6_rebound,0.18070087837627047
2026-03-03 08:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 08:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 08:00:00+00:00,weak,short,S2_whale_exit,0.16690224537284878
2026-03-03 08:00:00+00:00,weak,short,S3_price_oi_div,0.31593625763977295
2026-03-03 08:00:00+00:00,weak,short,S4_activity_oi_div,0.46050770612293584
2026-03-03 08:00:00+00:00,weak,short,S5_upper_wick,0.056653790864442416
2026-03-03 12:00:00+00:00,weak,long,L1_momo,0.0796781225479167
2026-03-03 12:00:00+00:00,weak,long,L2_flow,0.16677271601419602
2026-03-03 12:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 12:00:00+00:00,weak,long,L4_oi,0.3427205372185586
2026-03-03 12:00:00+00:00,weak,long,L5_cost,0.23114585556658385
2026-03-03 12:00:00+00:00,weak,long,L6_rebound,0.1796827686527449
2026-03-03 12:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 12:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 12:00:00+00:00,weak,short,S2_whale_exit,0.17524485954229713
2026-03-03 12:00:00+00:00,weak,short,S3_price_oi_div,0.3094450145686868
2026-03-03 12:00:00+00:00,weak,short,S4_activity_oi_div,0.45373602408989244
2026-03-03 12:00:00+00:00,weak,short,S5_upper_wick,0.061574101799123544
2026-03-03 16:00:00+00:00,weak,long,L1_momo,0.0752777107968595
2026-03-03 16:00:00+00:00,weak,long,L2_flow,0.16638879912949403
2026-03-03 16:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 16:00:00+00:00,weak,long,L4_oi,0.34707252678999295
2026-03-03 16:00:00+00:00,weak,long,L5_cost,0.22059086418261586
2026-03-03 16:00:00+00:00,weak,long,L6_rebound,0.19067009910103758
2026-03-03 16:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 16:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 16:00:00+00:00,weak,short,S2_whale_exit,0.16950856524911884
2026-03-03 16:00:00+00:00,weak,short,S3_price_oi_div,0.31103709497609455
2026-03-03 16:00:00+00:00,weak,short,S4_activity_oi_div,0.46783458799350475
2026-03-03 16:00:00+00:00,weak,short,S5_upper_wick,0.051619751781281885
2026-03-03 20:00:00+00:00,weak,long,L1_momo,0.0823820635650231
2026-03-03 20:00:00+00:00,weak,long,L2_flow,0.1736827570765845
2026-03-03 20:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-03 20:00:00+00:00,weak,long,L4_oi,0.34097869765740835
2026-03-03 20:00:00+00:00,weak,long,L5_cost,0.21738399304589898
2026-03-03 20:00:00+00:00,weak,long,L6_rebound,0.18557248865508513
2026-03-03 20:00:00+00:00,weak,long,L7_candle,0.0
2026-03-03 20:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-03 20:00:00+00:00,weak,short,S2_whale_exit,0.17635491250196134
2026-03-03 20:00:00+00:00,weak,short,S3_price_oi_div,0.2930156561112992
2026-03-03 20:00:00+00:00,weak,short,S4_activity_oi_div,0.47437468345596867
2026-03-03 20:00:00+00:00,weak,short,S5_upper_wick,0.05625474793077078
2026-03-04 00:00:00+00:00,weak,long,L1_momo,0.07969690842015335
2026-03-04 00:00:00+00:00,weak,long,L2_flow,0.16816235492142087
2026-03-04 00:00:00+00:00,weak,long,L3_confirm,0.0
2026-03-04 00:00:00+00:00,weak,long,L4_oi,0.3480073522260021
2026-03-04 00:00:00+00:00,weak,long,L5_cost,0.21416651333606582
2026-03-04 00:00:00+00:00,weak,long,L6_rebound,0.18996687109635782
2026-03-04 00:00:00+00:00,weak,long,L7_candle,0.0
2026-03-04 00:00:00+00:00,weak,short,S1_crowd,0.0
2026-03-04 00:00:00+00:00,weak,short,S2_whale_exit,0.1925971451103643
2026-03-04 00:00:00+00:00,weak,short,S3_price_oi_div,0.29135432836905567
2026-03-04 00:00:00+00:00,weak,short,S4_activity_oi_div,0.4631662615576359
2026-03-04 00:00:00+00:00,weak,short,S5_upper_wick,0.052882264962944035
2026-03-04 04:00:00+00:00,strong,long,L1_momo,0.030209872142215103
2026-03-04 04:00:00+00:00,strong,long,L2_flow,0.18220473556422578
2026-03-04 04:00:00+00:00,strong,long,L3_confirm,0.0
